top - 18:06:08 up 22 min,  5 users,  load average: 0,58, 0,32, 0,29
top - 18:06:09 up 23 min,  5 users,  load average: 0,58, 0,32, 0,29
top - 18:06:10 up 23 min,  5 users,  load average: 0,54, 0,31, 0,29
top - 18:06:11 up 23 min,  5 users,  load average: 0,54, 0,31, 0,29
top - 18:06:12 up 23 min,  5 users,  load average: 0,54, 0,31, 0,29
top - 18:06:13 up 23 min,  5 users,  load average: 0,54, 0,31, 0,29
top - 18:06:14 up 23 min,  5 users,  load average: 0,54, 0,31, 0,29
top - 18:06:15 up 23 min,  5 users,  load average: 0,65, 0,34, 0,30
top - 18:06:16 up 23 min,  5 users,  load average: 0,65, 0,34, 0,30
top - 18:06:17 up 23 min,  5 users,  load average: 0,65, 0,34, 0,30
top - 18:06:18 up 23 min,  5 users,  load average: 0,65, 0,34, 0,30
top - 18:06:19 up 23 min,  5 users,  load average: 0,65, 0,34, 0,30
top - 18:06:20 up 23 min,  5 users,  load average: 0,68, 0,35, 0,30
top - 18:06:21 up 23 min,  5 users,  load average: 0,68, 0,35, 0,30
top - 18:06:22 up 23 min,  5 users,  load average: 0,68, 0,35, 0,30
top - 18:06:23 up 23 min,  5 users,  load average: 0,68, 0,35, 0,30
top - 18:06:24 up 23 min,  5 users,  load average: 0,68, 0,35, 0,30
top - 18:06:25 up 23 min,  5 users,  load average: 0,71, 0,36, 0,31
top - 18:06:26 up 23 min,  5 users,  load average: 0,71, 0,36, 0,31
top - 18:06:27 up 23 min,  5 users,  load average: 0,71, 0,36, 0,31
top - 18:06:28 up 23 min,  5 users,  load average: 0,71, 0,36, 0,31
top - 18:06:29 up 23 min,  5 users,  load average: 0,71, 0,36, 0,31
top - 18:06:30 up 23 min,  5 users,  load average: 0,65, 0,36, 0,30
top - 18:06:31 up 23 min,  5 users,  load average: 0,65, 0,36, 0,30
top - 18:06:32 up 23 min,  5 users,  load average: 0,65, 0,36, 0,30
top - 18:06:33 up 23 min,  5 users,  load average: 0,65, 0,36, 0,30
top - 18:06:34 up 23 min,  5 users,  load average: 0,65, 0,36, 0,30
